# time thermal kinetic hydro gravitational total
4.639112442985625102e-04 9.983813296566673712e-01 1.633699828352576811e-03 1.000015029485019857e+00 -9.504446518497413513e-08 1.000014934440554670e+00
2.585183064901873384e-03 9.801907333082584550e-01 1.982933802019836919e-02 1.000020071328456606e+00 -7.286410500086726641e-06 1.000012784917956532e+00
5.021126082019607140e-03 9.519933944720815333e-01 4.805911844713535441e-02 1.000052512919216818e+00 -4.444788172666669888e-05 1.000008065037490068e+00
7.761981265403744383e-03 9.179303337221978998e-01 8.222348480353051936e-02 1.000153818525728378e+00 -1.507635718864452023e-04 1.000003054953841897e+00
1.005966711454671196e-02 8.902564090665014973e-01 1.100587141253329543e-01 1.000315123191834576e+00 -3.135593288473767222e-04 1.000001563862987108e+00
1.271199393913539054e-02 8.615713463464830246e-01 1.390391734535963986e-01 1.000610519800079645e+00 -6.047365127393215193e-04 1.000005783287340355e+00
1.535803189199669641e-02 8.379428445667835845e-01 1.630959957919655423e-01 1.001038840358749349e+00 -1.019546848231373242e-03 1.000019293510517882e+00
1.763716417172767059e-02 8.219417480684254596e-01 1.795813177433226437e-01 1.001523065811748214e+00 -1.482573983536289138e-03 1.000040491828211975e+00
2.033221370612694687e-02 8.077871018306655992e-01 1.944507827230473329e-01 1.002237884553712988e+00 -2.159009061030547731e-03 1.000078875492682373e+00
2.269492476274416817e-02 7.988943077098789036e-01 2.040977867584553018e-01 1.002992094468334372e+00 -2.866540241996725930e-03 1.000125554226337643e+00
2.512555714371356164e-02 7.923717561156844447e-01 2.115195099230295361e-01 1.003891266038713814e+00 -3.704316245509925790e-03 1.000186949793203883e+00
2.763545609971485711e-02 7.876869027145143587e-01 2.172620303609464898e-01 1.004948933075460848e+00 -4.684116145798293031e-03 1.000264816929662626e+00
3.023689810438909276e-02 7.843713998561822054e-01 2.218097444894449044e-01 1.006181144345626999e+00 -5.820170813535655019e-03 1.000360973532091302e+00
3.294243008476127610e-02 7.820429204603505102e-01 2.255638699780450063e-01 1.007606790438395628e+00 -7.129466333566402900e-03 1.000477324104829258e+00
3.528190333605699808e-02 7.806429439070747822e-01 2.283132473687318753e-01 1.008956191275806491e+00 -8.365215283499958382e-03 1.000590975992306619e+00
3.770402095545524745e-02 7.795947206274825847e-01 2.308711659905550440e-01 1.010465886618037601e+00 -9.744917164747086274e-03 1.000720969453290587e+00
4.021166583815931339e-02 7.788035672734672232e-01 2.333450559033550809e-01 1.012148623176822415e+00 -1.128031226650849130e-02 1.000868310910314030e+00
4.281028232253699523e-02 7.782026428088422154e-01 2.358176338192067290e-01 1.014020276628048833e+00 -1.298607889408742201e-02 1.001034197733961406e+00
4.550168713128820153e-02 7.777501714232044616e-01 2.383455510350159789e-01 1.016095722458220330e+00 -1.487606113093518749e-02 1.001219661327285237e+00
4.772541517893173768e-02 7.774790715469038771e-01 2.404367293438758602e-01 1.017915800890779821e+00 -1.653276782560054656e-02 1.001383033065179173e+00
5.001138045869777532e-02 7.772838768421883593e-01 2.426026040686335983e-01 1.019886480910822124e+00 -1.832623359803067786e-02 1.001560247312791363e+00
5.295962903612899675e-02 7.771475929947702088e-01 2.454306077916941775e-01 1.022578200786464553e+00 -2.077588815409380646e-02 1.001802312632370739e+00
5.539263854461116271e-02 7.771301637158414266e-01 2.477977557545713583e-01 1.024927919470412618e+00 -2.291467613420361538e-02 1.002013243336209003e+00
5.789050039267874814e-02 7.772015047649419861e-01 2.502608146748387385e-01 1.027462319439780725e+00 -2.522223269125137973e-02 1.002240086748529269e+00
6.045391403328729402e-02 7.773693031333840375e-01 2.528239587187455784e-01 1.030193261852129449e+00 -2.770973596033656644e-02 1.002483525891792793e+00
6.308315689542047522e-02 7.776412497578503169e-01 2.554917024351369692e-01 1.033132952192987286e+00 -3.038871399699339532e-02 1.002744238195993898e+00
6.509803420146027808e-02 7.779176449917971636e-01 2.575643537847878140e-01 1.035481998776584867e+00 -3.253050302743271116e-02 1.002951495749152100e+00
6.784081317046557202e-02 7.783869715805360467e-01 2.604288919858768203e-01 1.038815863566412867e+00 -3.557188919556938250e-02 1.003243974370843450e+00
7.064548626774896922e-02 7.789744277145738138e-01 2.634154798714619106e-01 1.042389907586035669e+00 -3.883461247977364889e-02 1.003555295106262069e+00
7.278820246948049244e-02 7.794935093767604295e-01 2.657411708872685630e-01 1.045234680264029103e+00 -4.143325108662002099e-02 1.003801429177409110e+00
7.569522984719463665e-02 7.802903117831947455e-01 2.689649532390421260e-01 1.049255265022236872e+00 -4.510842130132113742e-02 1.004146843720915783e+00
7.791117251747774197e-02 7.809657238258377321e-01 2.714810198662530594e-01 1.052446743692090791e+00 -4.802771134948724541e-02 1.004419032342603657e+00
8.015567499212510050e-02 7.817067857305466383e-01 2.740863143580694050e-01 1.055793100088616043e+00 -5.109053218671556762e-02 1.004702567901900379e+00
8.318828871615943643e-02 7.827945443881331178e-01 2.777051588017662720e-01 1.060499703189899279e+00 -5.540146673756957130e-02 1.005098236452329763e+00
8.548951081167123489e-02 7.836831880195735955e-01 2.805328484319373761e-01 1.064216036451510750e+00 -5.880783020014916651e-02 1.005408206251361625e+00
8.781082538901030521e-02 7.846326169499316938e-01 2.834613780088585111e-01 1.068093994958790205e+00 -6.236459255564921061e-02 1.005729402403140904e+00
9.014960029780512418e-02 7.856412973305409997e-01 2.864934825621074932e-01 1.072134779892648604e+00 -6.607302746083590361e-02 1.006061752431812728e+00
9.250269181850642730e-02 7.867076269608082040e-01 2.896306605848320004e-01 1.076338287545640204e+00 -6.993321423667833714e-02 1.006405073308961784e+00
9.565641105374776687e-02 7.882160180519115489e-01 2.939778035250406596e-01 1.082193821576952208e+00 -7.531443110829677545e-02 1.006879390468655489e+00
9.803058144462258039e-02 7.894105949614991236e-01 2.973627213472012087e-01 1.086773316308700332e+00 -7.952600543440392633e-02 1.007247310874296309e+00
1.000000000000000056e-01 7.904397193982661829e-01 3.002464633198836941e-01 1.090686182718149766e+00 -8.312650244685809708e-02 1.007559680271291613e+00
