# time thermal kinetic hydro gravitational total
6.946855794787417456e-05 9.973298498688989433e-01 2.685150299677698318e-03 1.000015000168576362e+00 -1.613347120322234472e-10 1.000015000007241639e+00
2.508784930473527668e-03 7.950766327556570978e-01 2.049702152609484962e-01 1.000046848016605150e+00 -2.617002588593984397e-05 1.000020677990719253e+00
5.034206662574847689e-03 7.743297620298900119e-01 2.258513360391592451e-01 1.000181098069049090e+00 -1.352463936636068655e-04 1.000045851675385400e+00
7.556789225503219784e-03 7.692193458608560519e-01 2.311935821107582167e-01 1.000412927971614296e+00 -3.278225655019606543e-04 1.000085105406112396e+00
1.002347108694455133e-02 7.667292004041978970e-01 2.340031555467501634e-01 1.000732355950948227e+00 -5.985439887296675754e-04 1.000133811962218511e+00
1.264246286404607268e-02 7.650141615517821458e-01 2.361584399381903843e-01 1.001172601489972669e+00 -9.773555065824921645e-04 1.000195245983390269e+00
1.510238637572842990e-02 7.638023032427515568e-01 2.378796805662870273e-01 1.001681983809038501e+00 -1.420667857863067065e-03 1.000261315951175511e+00
1.752042968228869138e-02 7.628325742942008159e-01 2.394416354809948966e-01 1.002274209775195990e+00 -1.940524268544282843e-03 1.000333685506651804e+00
2.004299720796125228e-02 7.619866837189714914e-01 2.410030590291945274e-01 1.002989742748165991e+00 -2.573084922709992835e-03 1.000416657825456079e+00
2.266582117637389385e-02 7.612486437785253024e-01 2.425919541311652439e-01 1.003840597909690713e+00 -3.329901407701282585e-03 1.000510696501989427e+00
2.501686066223252070e-02 7.606906564200741627e-01 2.440061598874070370e-01 1.004696816307481200e+00 -4.095323062853085255e-03 1.000601493244628104e+00
2.762674424394269412e-02 7.601723331871682587e-01 2.455795562603475535e-01 1.005751889447515701e+00 -5.042617060470004110e-03 1.000709272387045656e+00
3.012030410265988112e-02 7.597671325396677666e-01 2.470966105139801305e-01 1.006863743053647786e+00 -6.044803736046910556e-03 1.000818939317600798e+00
3.267934723163001820e-02 7.594354209254531307e-01 2.486759270694818003e-01 1.008111347994935070e+00 -7.173218531645622793e-03 1.000938129463289528e+00
3.509812618921410304e-02 7.591949948486854671e-01 2.501958155659666505e-01 1.009390810414652062e+00 -8.333958560073894198e-03 1.001056851854578156e+00
3.756992207630640429e-02 7.590183774403209682e-01 2.517816427491557096e-01 1.010800020189476678e+00 -9.615858281191328599e-03 1.001184161908285297e+00
4.009357579275386191e-02 7.589063683976706720e-01 2.534396410992325599e-01 1.012346009496903010e+00 -1.102571732619143929e-02 1.001320292170711612e+00
4.266802506761661201e-02 7.588598744930759032e-01 2.551761440939158687e-01 1.014036018586991883e+00 -1.257053850872857578e-02 1.001465480078263415e+00
4.507172527666523237e-02 7.588756337610705893e-01 2.568424546443077716e-01 1.015718088405378250e+00 -1.411135472667316045e-02 1.001606733678705119e+00
4.751659556163715520e-02 7.589481293334447987e-01 2.585852664785497912e-01 1.017533395811994312e+00 -1.577740049823986301e-02 1.001755995313754477e+00
5.000199532357203075e-02 7.590782128182997912e-01 2.604098723745781885e-01 1.019488085192878035e+00 -1.757462168794680923e-02 1.001913463504931157e+00
5.252733177473406512e-02 7.592668762903989066e-01 2.623216425545076835e-01 1.021588518844906313e+00 -1.950917564015273303e-02 1.002079343204753670e+00
5.509205667196616363e-02 7.595152023246297679e-01 2.643260942131283597e-01 1.023841296537757906e+00 -2.158744979797734553e-02 1.002253846739780574e+00
5.769566348006785472e-02 7.598243056270488349e-01 2.664289705669409813e-01 1.026253276193989761e+00 -2.381608153890790378e-02 1.002437194655081854e+00
6.009592532321102881e-02 7.601591088896714199e-01 2.684310272306748013e-01 1.028590136120346221e+00 -2.597839368231193852e-02 1.002611742438034304e+00
6.252760989340151732e-02 7.605462048151305776e-01 2.705238380684724664e-01 1.031070042883603044e+00 -2.827607400467349250e-02 1.002793968878929576e+00
6.523839844004686306e-02 7.610336944162402473e-01 2.729363963041415708e-01 1.033970090720381707e+00 -3.096658043865986587e-02 1.003003510281721855e+00
6.773512072674084394e-02 7.615342366207983327e-01 2.752353283974787734e-01 1.036769565018277106e+00 -3.356708473020677402e-02 1.003202480288070353e+00
7.000831126120345138e-02 7.620325057544319325e-01 2.773947628241202334e-01 1.039427268578551944e+00 -3.603863731024191386e-02 1.003388631268310016e+00
7.256290974809993799e-02 7.626404769814139062e-01 2.798993693634589386e-01 1.042539846344872512e+00 -3.893632012859811475e-02 1.003603526216274355e+00
7.514765124181298217e-02 7.633070796232064303e-01 2.825199547565507840e-01 1.045827034379757325e+00 -4.199991256466570344e-02 1.003827121815091594e+00
7.776234238003811028e-02 7.640338301536842014e-01 2.852621733425305117e-01 1.049296003496214880e+00 -4.523635148963671415e-02 1.004059652006578096e+00
8.014102710161846721e-02 7.647407391882687921e-01 2.878389535961657364e-01 1.052579692784434640e+00 -4.830292192914275445e-02 1.004276770855291989e+00
8.254371594682377578e-02 7.654990283306969401e-01 2.905233843306032626e-01 1.056022412661300258e+00 -5.152089985228690272e-02 1.004501512809013342e+00
8.524139977824141123e-02 7.664034947711610979e-01 2.936379389826508923e-01 1.060041433753811768e+00 -5.528102818071659041e-02 1.004760405573095206e+00
8.769444402652648574e-02 7.672748720319408910e-01 2.965649079540967348e-01 1.063839779986037737e+00 -5.883788413657103922e-02 1.005001895849466642e+00
9.017121420400547871e-02 7.682021936968969067e-01 2.996143862768299027e-01 1.067816579973726698e+00 -6.256492995696577575e-02 1.005251650016760978e+00
9.267164459670486354e-02 7.691870929378572530e-01 3.027915665930351885e-01 1.071978659530892664e+00 -6.646876501507671675e-02 1.005509894515815850e+00
9.519568073432356503e-02 7.702313256156103627e-01 3.061018309883533073e-01 1.076333156603963559e+00 -7.055628982940544136e-02 1.005776866774558131e+00
9.774327925923666227e-02 7.713367538395889955e-01 3.095507857351142977e-01 1.080887539574703293e+00 -7.483472363995102850e-02 1.006052815934752154e+00
1.000000000000000056e-01 7.723595567066671164e-01 3.126986935078719387e-01 1.085058250214539166e+00 -7.875548420216682555e-02 1.006302766012372452e+00
