# time thermal kinetic hydro gravitational total
6.946855794787417456e-05 9.972598097080784818e-01 2.755191422808071691e-03 1.000015001130886372e+00 -3.697557145283763274e-09 1.000014997433329222e+00
2.523571452176602645e-03 8.088472540500468710e-01 1.912062194083500588e-01 1.000053473458396791e+00 -3.705552736453251279e-05 1.000016417931032242e+00
5.087935583709359520e-03 7.863281879285122233e-01 2.138829399611676119e-01 1.000211127889679696e+00 -1.797275576870613486e-04 1.000031400331992559e+00
7.553421610013965823e-03 7.795796247492493558e-01 2.208911065524117312e-01 1.000470731301660976e+00 -4.135738191009261165e-04 1.000057157482560077e+00
1.005223455090247138e-02 7.755945295964608022e-01 2.252448976686255988e-01 1.000839427265086234e+00 -7.471903552805916286e-04 1.000092236909805532e+00
1.257593090430521830e-02 7.727957651572578968e-01 2.285240696857489540e-01 1.001319834843007017e+00 -1.184076062007038445e-03 1.000135758781000028e+00
1.507758188565283888e-02 7.706607083721864759e-01 2.312431051119305525e-01 1.001903813484116945e+00 -1.717484801665254820e-03 1.000186328682451720e+00
1.754379975500094252e-02 7.689648273793925348e-01 2.336203524057807734e-01 1.002585179785173031e+00 -2.342140762998044454e-03 1.000243039022175040e+00
2.010040779854952234e-02 7.675249129612511378e-01 2.358779973137144215e-01 1.003402910274965754e+00 -3.094184310816143479e-03 1.000308725964149659e+00
2.259206316233193512e-02 7.663690021873311720e-01 2.379406059692809050e-01 1.004309608156612077e+00 -3.930320038730212781e-03 1.000379288117881904e+00
2.500017519901121671e-02 7.654439139219163524e-01 2.398455420555073159e-01 1.005289455977423696e+00 -4.835989194085074140e-03 1.000453466783338685e+00
2.762091320122454091e-02 7.646193207043312512e-01 2.418528906488585650e-01 1.006472211353189650e+00 -5.931476680366519830e-03 1.000540734672823229e+00
3.014227491278122922e-02 7.639811511282463830e-01 2.437442428789169113e-01 1.007725394007163322e+00 -7.094385129216592215e-03 1.000631008877946648e+00
3.255163750247004606e-02 7.634962936417271084e-01 2.455330178004277164e-01 1.009029311442154908e+00 -8.306341555472543034e-03 1.000722969886682412e+00
3.500299168906791797e-02 7.631149417953266845e-01 2.473485566803591551e-01 1.010463498475685729e+00 -9.641325421892050010e-03 1.000822173053793618e+00
3.766200134725179033e-02 7.628164325031623338e-01 2.493264326068771464e-01 1.012142865110039480e+00 -1.120672595620955322e-02 1.000936139153829840e+00
4.002457387274577227e-02 7.626428525660715607e-01 2.511011271820655089e-01 1.013743979748137125e+00 -1.270108083181303166e-02 1.001042898916324031e+00
4.259171847434951169e-02 7.625441257371243786e-01 2.530569947988221546e-01 1.015601120535946533e+00 -1.443639928243009574e-02 1.001164721253516410e+00
4.502002230285106349e-02 7.625308128442723765e-01 2.549406750396895904e-01 1.017471487883961689e+00 -1.618598937900482884e-02 1.001285498504956850e+00
4.765527187873037918e-02 7.625987471105195592e-01 2.570289461077298054e-01 1.019627693218249309e+00 -1.820505924593335961e-02 1.001422633972316012e+00
5.014518310053493744e-02 7.627371917653709144e-01 2.590501312788612842e-01 1.021787323044232032e+00 -2.022933530311983932e-02 1.001557987741112266e+00
5.266359072007504444e-02 7.629468159486800793e-01 2.611472902311117172e-01 1.024094106179792130e+00 -2.239351327994402660e-02 1.001700592899848141e+00
5.502700634683759667e-02 7.632044532886397281e-01 2.631678868970407925e-01 1.026372340185680354e+00 -2.453270830114663917e-02 1.001839631884533732e+00
5.759842291916050794e-02 7.635491466757016177e-01 2.654283425643720884e-01 1.028977489240073373e+00 -2.698084830523630670e-02 1.001996640934837091e+00
6.000999166452049977e-02 7.639313644147017746e-01 2.676106841643918766e-01 1.031542048579093374e+00 -2.939272228070143739e-02 1.002149326298392040e+00
6.263221630747030366e-02 7.644098107324578395e-01 2.700560899948949434e-01 1.034465900727352894e+00 -3.214456272695068173e-02 1.002321338000402129e+00
6.509007476138108095e-02 7.649162412924697119e-01 2.724201312893542726e-01 1.037336372581823873e+00 -3.484812056233307920e-02 1.002488252019490877e+00
6.756965160835107231e-02 7.654828036523241286e-01 2.748787731756670016e-01 1.040361576827991241e+00 -3.769933592041870007e-02 1.002662240907572500e+00
7.007062024778289155e-02 7.661099240570825586e-01 2.774366860585727457e-01 1.043546610115655193e+00 -4.070314921894106069e-02 1.002843460896714056e+00
7.259268308169185280e-02 7.667981798399622351e-01 2.800985966925222392e-01 1.046896776532484363e+00 -4.386470272832093675e-02 1.003032073804163371e+00
7.513556958991526868e-02 7.675482890290112881e-01 2.828693119461756500e-01 1.050417600975186883e+00 -4.718934940716382892e-02 1.003228251568023088e+00
7.750111957346056402e-02 7.682963406052382149e-01 2.855277006116712091e-01 1.053824041216909535e+00 -5.040783339600145296e-02 1.003416207820908124e+00
8.008338314701637928e-02 7.691679421884187740e-01 2.885215150736182288e-01 1.057689457262036781e+00 -5.406201348650952615e-02 1.003627443775527261e+00
8.268581937126408266e-02 7.701042924429126746e-01 2.916387871044440749e-01 1.061743079547356805e+00 -5.789628640267479448e-02 1.003846793144681948e+00
8.510581743913128716e-02 7.710271763283571556e-01 2.946303977290315457e-01 1.065657574057388590e+00 -6.160092521936234855e-02 1.004056648838026256e+00
8.754272519764005889e-02 7.720074002643216859e-01 2.977359526738957429e-01 1.069743352938217651e+00 -6.546959097424727425e-02 1.004273761963970335e+00
9.020166137078866608e-02 7.731353825795025392e-01 3.012340022874322454e-01 1.074369384866934674e+00 -6.985202076708428576e-02 1.004517364099850374e+00
9.267345406787842743e-02 7.742389678653572860e-01 3.045912478015730951e-01 1.078830215666930270e+00 -7.408003835009507876e-02 1.004750177316835247e+00
9.516184216490529424e-02 7.754038562891766295e-01 3.080764451442238316e-01 1.083480301433400239e+00 -7.848948010409970144e-02 1.004990821329300621e+00
9.766670658091322621e-02 7.766315172529789645e-01 3.116943865702340721e-01 1.088325903823212926e+00 -8.308641043450286368e-02 1.005239493388710104e+00
1.000000000000000056e-01 7.778252399462555200e-01 3.151660675358189945e-01 1.092991307482074737e+00 -8.751428914448347585e-02 1.005477018337591177e+00
